,id,fss,kf,n,idoc,ratio,probable_class,dc_c,dc,mu_nc,mu_mc,mu_sc,mu_fsf_low,mu_fsf_high,mu_kf_low,mu_kf_high,mu_n_low,mu_n_high,mu_idoc_low,mu_idoc_high,mu_ratio_low,mu_ratio_high
11,Ref after,19.49164249,0.00215,0.197577875,12.13,10.96665209,,0.5296272801247153,0.5456617960680006,0.9521733822517152,0.8789153979415223,0.8819495260369363,0.0005006806528693127,0.8819495260369363,0.8789153979415223,0.9521733822517152,0.9935059790799255,0.00033364222015910854,0.0005082551434647517,0.9716399888493341,0.985352399814587,0.002117378534507739
12,Ref after,19.49164249,0.000965,0.197577875,11.9,10.96665209,,0.644658046249059,0.6202960966633295,0.49879770214767716,0.9673906593190119,0.9687780017891279,0.0005006806528693127,0.8819495260369363,0.9687780017891279,0.49879770214767716,0.9935059790799255,0.00033364222015910854,0.0006215486810439249,0.9673906593190119,0.985352399814587,0.002117378534507739
13,Ref after,19.49164249,0.000752,0.197577875,11.7,10.96665209,,0.6907560154356639,0.6502053966273779,0.3675776915803118,0.9631888228191204,0.975775454418467,0.0005006806528693127,0.8819495260369363,0.975775454418467,0.3675776915803118,0.9935059790799255,0.00033364222015910854,0.000740905261158289,0.9631888228191204,0.985352399814587,0.002117378534507739
14,Ref after,19.49164249,0.000665,0.197577875,,10.96665209,,0.7100537995549997,0.6627261914487337,0.31809449044374766,0.9781764000665466,0.9781764000665466,0.0005006806528693127,0.8819495260369363,0.9781764000665466,0.31809449044374766,0.9935059790799255,0.00033364222015910854,,,0.985352399814587,0.002117378534507739
15,A-us before,29.75423046,6.87e-05,0.142106779,7.84,7.812672323,,0.8234323794949029,0.7362885200448872,0.09354892846788156,0.6986830855418221,0.9893748853522136,0.0,0.0,0.9893748853522136,0.09354892846788156,0.9936767771959482,0.0003265168517291973,0.02159419636332537,0.6986830855418221,0.9958021556519574,0.0009730105330083002
16,A-us before,29.75423046,0.000311,0.142106779,7.54,7.812672323,,0.7948932965074292,0.7177717825652837,0.1597245607150527,0.6576276037106831,0.9857634135760834,0.0,0.0,0.9857634135760834,0.1597245607150527,0.9936767771959482,0.0003265168517291973,0.02792679459676339,0.6576276037106831,0.9958021556519574,0.0009730105330083002
17,A-us before,29.75423046,0.000173,0.142106779,8.28,7.812672323,,0.8071398678145469,0.7257176071041688,0.11842030378174209,0.7534850017578874,0.9879445998269272,0.0,0.0,0.9879445998269272,0.11842030378174209,0.9936767771959482,0.0003265168517291973,0.014766991675889643,0.7534850017578874,0.9958021556519574,0.0009730105330083002
18,A-us before,29.75423046,,0.142106779,7.96,7.812672323,,0.5935746996774847,0.5871521824576551,0.7142986838381811,0.7142986838381811,0.9958021556519574,0.0,0.0,,,0.9936767771959482,0.0003265168517291973,0.019475063346813717,0.7142986838381811,0.9958021556519574,0.0009730105330083002
19,A-us before,29.75423046,0.000136,0.142106779,,7.812672323,,0.800336967015023,0.721303746705786,0.10908398542661253,0.9884697957498136,0.9884697957498136,0.0,0.0,0.9884697957498136,0.10908398542661253,0.9936767771959482,0.0003265168517291973,,,0.9958021556519574,0.0009730105330083002
20,A-us before,29.75423046,2.97e-05,0.142106779,,7.812672323,,0.8111097660212452,0.7282933578017803,0.08551085211795766,0.9898659217225879,0.9898659217225879,0.0,0.0,0.9898659217225879,0.08551085211795766,0.9936767771959482,0.0003265168517291973,,,0.9958021556519574,0.0009730105330083002
21,A-us before,29.75423046,2.28e-06,0.142106779,6.05,7.812672323,,0.863281488867117,0.7621434326699763,0.07985946613039577,0.4298578387707154,0.9902111580629895,0.0,0.0,0.9902111580629895,0.07985946613039577,0.9936767771959482,0.0003265168517291973,0.09618168832701575,0.4298578387707154,0.9958021556519574,0.0009730105330083002
22,A-us before,29.75423046,1.89e-05,0.142106779,6.0,7.812672323,,0.8626067311982994,0.7617056361710025,0.08328492328259411,0.42216570806029174,0.9900019010251531,0.0,0.0,0.9900019010251531,0.08328492328259411,0.9936767771959482,0.0003265168517291973,0.09999999999999995,0.42216570806029174,0.9958021556519574,0.0009730105330083002
23,A-us after,21.95121951,,0.159179467,12.08,13.09531235,,0.5426263450433595,0.5540958537665085,0.970764597706337,0.970764597706337,0.9663773972064984,9.896575799421565e-05,0.9484178198495741,,,0.9936242095858573,0.00032870987117285364,0.0005309844964205654,0.970764597706337,0.9663773972064984,0.003575783235942301
24,A-us after,21.95121951,0.000672,0.159179467,11.9,13.09531235,,0.7071910643525168,0.6608687906261052,0.3218819204267167,0.9673906593190119,0.9663773972064984,9.896575799421565e-05,0.9484178198495741,0.9779965643692452,0.3218819204267167,0.9936242095858573,0.00032870987117285364,0.0006215486810439249,0.9673906593190119,0.9663773972064984,0.003575783235942301
25,A-us after,21.95121951,0.000467,0.159179467,11.73,13.09531235,,0.7491118481810909,0.6880678477728825,0.22043989357206142,0.963837504952611,0.9663773972064984,9.896575799421565e-05,0.9484178198495741,0.9827998941325885,0.22043989357206142,0.9936242095858573,0.00032870987117285364,0.0007222165876769316,0.963837504952611,0.9663773972064984,0.003575783235942301
26,A-us after,21.95121951,0.000418,0.159179467,11.63,13.09531235,,0.758154458153492,0.6939348770345757,0.1996608979745945,0.9615846011743453,0.9663773972064984,9.896575799421565e-05,0.9484178198495741,0.9837942435030367,0.1996608979745945,0.9936242095858573,0.00032870987117285364,0.0007885119886672069,0.9615846011743453,0.9663773972064984,0.003575783235942301
27,A-us after,21.95121951,0.000499,0.159179467,11.23,13.09531235,,0.7436234886733546,0.6845068885001881,0.23400984988061127,0.9511548232525945,0.9663773972064984,9.896575799421565e-05,0.9484178198495741,0.9821505231151529,0.23400984988061127,0.9936242095858573,0.00032870987117285364,0.00112032141126077,0.9511548232525945,0.9663773972064984,0.003575783235942301
28,A-us after,21.95121951,0.000448,0.159179467,11.13,13.09531235,,0.7529279360307232,0.6905438031825837,0.21238273201385996,0.9481543265888406,0.9663773972064984,9.896575799421565e-05,0.9484178198495741,0.9831854581741908,0.21238273201385996,0.9936242095858573,0.00032870987117285364,0.0012231157857385913,0.9481543265888406,0.9663773972064984,0.003575783235942301
29,A-us after,21.95121951,0.00024,0.159179467,11.31,13.09531235,,0.7858826615890039,0.7119254993689292,0.13743278604110576,0.9534453706442432,0.9663773972064984,9.896575799421565e-05,0.9484178198495741,0.9869214685562747,0.13743278604110576,0.9936242095858573,0.00032870987117285364,0.0010438545719482588,0.9534453706442432,0.9663773972064984,0.003575783235942301
30,A-us after,21.95121951,0.000318,0.159179467,11.13,13.09531235,,0.7749161684202814,0.7048102155608886,0.1622652647358603,0.9481543265888406,0.9663773972064984,9.896575799421565e-05,0.9484178198495741,0.9856372642263062,0.1622652647358603,0.9936242095858573,0.00032870987117285364,0.0012231157857385913,0.9481543265888406,0.9663773972064984,0.003575783235942301
31,A-us after,21.95121951,0.000317,0.159179467,11.13,13.09531235,,0.7750787742593237,0.7049157175363908,0.1619023070186021,0.9481543265888406,0.9663773972064984,9.896575799421565e-05,0.9484178198495741,0.9856552855619887,0.1619023070186021,0.9936242095858573,0.00032870987117285364,0.0012231157857385913,0.9481543265888406,0.9663773972064984,0.003575783235942301
32,A-us after,21.95121951,0.000272,0.159179467,11.23,13.09531235,,0.7815666142606881,0.7091251600811166,0.14719238059262918,0.9511548232525945,0.9663773972064984,9.896575799421565e-05,0.9484178198495741,0.9864095644028431,0.14719238059262918,0.9936242095858573,0.00032870987117285364,0.00112032141126077,0.9511548232525945,0.9663773972064984,0.003575783235942301
33,A-ds before,34.53923686,0.000113,0.141619999,,6.327855637,,0.8029887714569612,0.7230242913609932,0.10328032807072117,0.9887962688910674,0.9887962688910674,0.0,0.0,0.9887962688910674,0.10328032807072117,0.9936782760144844,0.00032645432390670197,,,0.997676057036802,0.0006746207993550457
34,A-ds before,34.53923686,5.09e-05,0.141619999,5.28,6.327855637,,0.877992913549948,0.7716885042100293,0.08988026797996757,0.31739411414464225,0.989598999387923,0.0,0.0,0.989598999387923,0.08988026797996757,0.9936782760144844,0.00032645432390670197,0.1730707907160235,0.31739411414464225,0.997676057036802,0.0006746207993550457
35,A-ds before,34.53923686,4.53e-05,0.141619999,6.6,6.327855637,,0.8459016337021528,0.7508670291616917,0.08872608265792722,0.5156893088989655,0.9896695071744381,0.0,0.0,0.9896695071744381,0.08872608265792722,0.9936782760144844,0.00032645432390670197,0.061539675899051044,0.5156893088989655,0.997676057036802,0.0006746207993550457
36,A-ds before,34.53923686,5.04e-05,0.141619999,4.16,6.327855637,,0.9052892620102173,0.7893989302532359,0.08977721571907112,0.1871394004671992,0.9896052947260047,0.0,0.0,0.9896052947260047,0.08977721571907112,0.9936782760144844,0.00032645432390670197,0.3589767976384576,0.1871394004671992,0.997676057036802,0.0006746207993550457
37,A-ds before,34.53923686,3.69e-05,0.141619999,6.05,6.327855637,,0.8593515276423095,0.759593593898467,0.08699480467486669,0.4298578387707154,0.9897752688542111,0.0,0.0,0.9897752688542111,0.08699480467486669,0.9936782760144844,0.00032645432390670197,0.09618168832701575,0.4298578387707154,0.997676057036802,0.0006746207993550457
38,A-ds before,34.53923686,3.3e-05,0.141619999,3.4,6.327855637,,0.9217194740170023,0.8000591859663364,0.08619099703987429,0.1249777933144387,0.9898243724912485,0.0,0.0,0.9898243724912485,0.08619099703987429,0.9936782760144844,0.00032645432390670197,0.5219581130211605,0.1249777933144387,0.997676057036802,0.0006746207993550457
39,A-ds before,34.53923686,1.57e-05,0.141619999,6.25,6.327855637,,0.8569252711478991,0.7580193893388848,0.08262538881285676,0.4608537704233069,0.9900421911888762,0.0,0.0,0.9900421911888762,0.08262538881285676,0.9936782760144844,0.00032645432390670197,0.08195020134308696,0.4608537704233069,0.997676057036802,0.0006746207993550457
40,A-ds before,34.53923686,1.48e-05,0.141619999,2.6,6.327855637,,0.9368073019483508,0.8098484755894415,0.07956032257917227,0.07956032257917227,0.9900535227974232,0.0,0.0,0.9900535227974232,0.08243989474324313,0.9936782760144844,0.00032645432390670197,0.6880461916122182,0.07956032257917227,0.997676057036802,0.0006746207993550457
41,A-ds after,30.17537171,0.00125,0.150062295,12.97,7.214091081,,0.5952595718639665,0.5882453617997336,0.6714268450067673,0.9562847341817974,0.9562847341817974,0.0,0.0,0.9562847341817974,0.6714268450067673,0.9936522817876586,0.0003275387529829612,0.0002429852809502371,0.9830655150905747,0.9966921118713773,0.0008394563886317196
42,A-ds after,30.17537171,0.0004,0.150062295,11.13,7.214091081,,0.7638849531377557,0.6976529387290726,0.1920277975510352,0.9481543265888406,0.9841595147003441,0.0,0.0,0.9841595147003441,0.1920277975510352,0.9936522817876586,0.0003275387529829612,0.0012231157857385913,0.9481543265888406,0.9966921118713773,0.0008394563886317196
43,A-ds after,30.17537171,9.49e-05,0.150062295,9.69,7.214091081,,0.8085778085782083,0.7266505723169482,0.09894886693885609,0.8810569026133739,0.9890450096367314,0.0,0.0,0.9890450096367314,0.09894886693885609,0.9936522817876586,0.0003275387529829612,0.004320839247681804,0.8810569026133739,0.9966921118713773,0.0008394563886317196
44,A-ds after,30.17537171,8.28e-05,0.150062295,7.67,7.214091081,,0.8241502022168835,0.7367542580262247,0.09645500222516173,0.6757605299617668,0.989197356818309,0.0,0.0,0.989197356818309,0.09645500222516173,0.9936522817876586,0.0003275387529829612,0.02498463816267201,0.6757605299617668,0.9966921118713773,0.0008394563886317196
45,A-ds after,30.17537171,2.19e-05,0.150062295,,7.214091081,,0.8118443103446822,0.7287699450982321,0.08390323684797288,0.9899641289966628,0.9899641289966628,0.0,0.0,0.9899641289966628,0.08390323684797288,0.9936522817876586,0.0003275387529829612,,,0.9966921118713773,0.0008394563886317196
46,A-ds after,30.17537171,6.69e-05,0.150062295,5.25,7.214091081,,0.876848173286157,0.7709457734447748,0.0931779403286543,0.3133424213709841,0.9893975485693078,0.0,0.0,0.9893975485693078,0.0931779403286543,0.9936522817876586,0.0003275387529829612,0.17690870696528066,0.3133424213709841,0.9966921118713773,0.0008394563886317196
47,A-ds after,30.17537171,3.44e-05,0.150062295,5.56,7.214091081,,0.8723649109940368,0.7680369416875724,0.08647954337038438,0.3566404996149804,0.9898067455446198,0.0,0.0,0.9898067455446198,0.08647954337038438,0.9936522817876586,0.0003275387529829612,0.140656805983869,0.3566404996149804,0.9966921118713773,0.0008394563886317196
48,A-ds after,30.17537171,7.59e-06,0.150062295,5.31,7.214091081,,0.8824485995587379,0.7745794439137512,0.08095388114111618,0.3214766517863538,0.9901443015725617,0.0,0.0,0.9901443015725617,0.08095388114111618,0.9936522817876586,0.0003275387529829612,0.1693048373694923,0.3214766517863538,0.9966921118713773,0.0008394563886317196
49,B-us before,13.64862435,0.00401,0.199392242,12.07,30.58478791,,0.4010675520838175,0.46224962982469897,0.9705832707562201,0.46787818410746773,0.46787818410746773,0.023078399543813334,0.46787818410746773,0.42635715678730657,0.9995517905381458,0.9935003925585167,0.00033387527907220574,0.0005357718005235251,0.9705832707562201,0.02584566215852051,0.212120191340182
50,B-us before,13.64862435,0.00196,0.199392242,12.16,30.58478791,,0.4113060162679397,0.46889255362063614,0.9248572144320071,0.9016001365153076,0.46787818410746773,0.023078399543813334,0.46787818410746773,0.9016001365153076,0.9248572144320071,0.9935003925585167,0.00033387527907220574,0.000495100398714858,0.9721527260920972,0.02584566215852051,0.212120191340182
51,B-us before,13.64862435,0.00385,0.199392242,12.19,30.58478791,,0.4010380809946665,0.462230508382665,0.9726654633348603,0.4748771316756918,0.46787818410746773,0.023078399543813334,0.46787818410746773,0.4748771316756918,0.999324236567501,0.9935003925585167,0.00033387527907220574,0.00048194565396496433,0.9726654633348603,0.02584566215852051,0.212120191340182
52,B-us before,13.64862435,0.00238,0.199392242,12.16,30.58478791,,0.4057803298183631,0.465307375868908,0.9721527260920972,0.8456399125785571,0.46787818410746773,0.023078399543813334,0.46787818410746773,0.8456399125785571,0.9727814359251572,0.9935003925585167,0.00033387527907220574,0.000495100398714858,0.9721527260920972,0.02584566215852051,0.212120191340182
53,B-us before,13.64862435,0.00118,0.199392242,12.16,30.58478791,,0.4717701011160195,0.5081228816086721,0.6315201654461694,0.9597596643546591,0.46787818410746773,0.023078399543813334,0.46787818410746773,0.9597596643546591,0.6315201654461694,0.9935003925585167,0.00033387527907220574,0.000495100398714858,0.9721527260920972,0.02584566215852051,0.212120191340182
54,B-us before,13.64862435,0.00208,0.199392242,12.17,30.58478791,,0.4088690007012431,0.4673113683561329,0.9435485465445645,0.8878062272690916,0.46787818410746773,0.023078399543813334,0.46787818410746773,0.8878062272690916,0.9435485465445645,0.9935003925585167,0.00033387527907220574,0.0004907154837982268,0.9723236385063515,0.02584566215852051,0.212120191340182
55,B-us before,13.64862435,0.00185,0.199392242,12.13,30.58478791,,0.41446648093072314,0.47094312737242805,0.9030524641052996,0.9129253259023922,0.46787818410746773,0.023078399543813334,0.46787818410746773,0.9129253259023922,0.9030524641052996,0.9935003925585167,0.00033387527907220574,0.0005082551434647517,0.9716399888493341,0.02584566215852051,0.212120191340182
56,B-us before,13.64862435,0.000718,0.199392242,12.06,30.58478791,,0.5672114344630929,0.5700471598017303,0.3476052734738033,0.9704019438061031,0.46787818410746773,0.023078399543813334,0.46787818410746773,0.9767573791010334,0.3476052734738033,0.9935003925585167,0.00033387527907220574,0.0005405591046264848,0.9704019438061031,0.02584566215852051,0.212120191340182
57,B-us after,13.79022148,0.00651,0.211044117,13.39,29.38450961,,0.40592468873503,0.465401038870061,0.9869420998459572,0.4808046403289581,0.4808046403289581,0.021057488679387896,0.4808046403289581,0.03352502248514076,0.9999992058094747,0.993462836968081,0.00033542871433740496,0.0001679183623686638,0.9869420998459572,0.04109687479985452,0.1667952655725353
58,B-us after,13.79022148,0.00578,0.211044117,13.42,29.38450961,,0.4059207554464634,0.46539848687244245,0.9871809794032315,0.4808046403289581,0.4808046403289581,0.021057488679387896,0.4808046403289581,0.07828169672112824,0.999994934694252,0.993462836968081,0.00033542871433740496,0.00016359056554396701,0.9871809794032315,0.04109687479985452,0.1667952655725353
