Easting [m,Northig [m,dz
4574510.19,5303055.98,-0.16
4574519.12,5303022,0.09
4574495.72,5303166.04,-0.06
4574476.89,5303194.22,-0.17
4574465.86,5303187.34,0.03
4574473.93,5303152.54,-0.23
4574482.27,5303117.99,-0.46
4574490.84,5303083.66,-0.17
4574499.66,5303049.58,0.05
4574458.06,5303222.41,-0.2
4574446.9,5303215.4,-0.14
4574454.84,5303180.47,0.05
4574463.04,5303145.8,-0.36
4574471.49,5303111.35,-0.2
4574480.19,5303077.15,0
4574436.65,5303256.24,-0.05
4574415.24,5303290.07,0.07
4574425.52,5303249.3,-0.22
4574404.14,5303283.19,-0.2
4574435.75,5303208.41,0.19
4574443.82,5303173.61,-0.23
4574452.14,5303139.04,-0.19
4574460.73,5303104.73,0.02
4574393.82,5303323.89,0.16
4574372.41,5303357.72,0.18
4574382.75,5303317.09,-0.14
4574414.39,5303242.37,0.3
4574393.03,5303276.33,0.35
4574424.59,5303201.42,-0.01
4574432.8,5303166.73,-0.19
4574441.27,5303132.31,0.05
4574351,5303391.55,0.14
4574361.37,5303350.99,-0.07
4574371.68,5303310.29,0.36
4574403.27,5303235.44,0.09
4574381.94,5303269.47,0.12
4574413.45,5303194.42,-0.18
4574421.8,5303159.88,0.05
4574334.36,5303420.41,0.12
4574339.98,5303384.88,0
4574350.32,5303344.25,0.19
4574317.72,5303449.27,0.18
4574323.04,5303413.59,0.03
4574360.61,5303303.49,0.09
4574392.15,5303228.51,-0.15
4574370.84,5303262.6,-0.13
4574402.34,5303187.46,0.13
4574301.08,5303478.13,0.25
4574328.96,5303378.21,0.05
4574339.28,5303337.52,0.1
4574306.09,5303442.3,0.04
4574311.7,5303406.76,0.05
4574349.54,5303296.69,-0.07
4574381.06,5303221.61,0.23
4574359.77,5303255.76,0.3
4574284.44,5303506.99,0.34
4574289.15,5303471.01,0.05
4574267.8,5303535.85,0.51
4574272.2,5303499.72,0.1
4574317.95,5303371.55,0.16
4574328.24,5303330.78,0.12
4574294.43,5303435.31,0.06
4574300.37,5303399.94,0.27
4574338.49,5303289.9,0.22
4574251.16,5303564.71,0.61
4574277.17,5303463.86,0.08
4574255.26,5303528.43,0.18
4574259.91,5303492.42,0.12
4574306.93,5303364.87,0.23
4574317.2,5303324.05,-0.01
4574282.79,5303428.34,0.3
4574289.04,5303393.11,0.18
4574233.57,5303593.67,0.71
4574238.31,5303557.14,0.27
4574265.21,5303456.73,0.29
4574242.64,5303520.97,0.09
4574247.63,5303485.13,0.24
4574295.92,5303358.2,-0.33
4574271.14,5303421.35,0.08
4574277.72,5303386.29,-0.65
4574215.98,5303622.62,0.69
4574220.76,5303586.05,0.35
4574225.38,5303549.52,0.11
4574253.25,5303449.59,-0.09
4574230.05,5303513.52,0.13
4574235.35,5303477.83,-0.21
4574259.51,5303414.38,-0.88
4574198.39,5303651.58,0.6
4574203.21,5303614.96,0.45
4574207.88,5303578.39,0.1
4574212.47,5303541.92,-0.03
4574241.31,5303442.46,-1.07
