Easting [m],Northig [m],dz
4573990.36,5303916.39,-0.32
4574015.15,5303853.28,-0.48
4574019.93,5303817.3,-0.56
4573999.2,5303882.55,-0.53
4573952.42,5304051.36,0.8
4573957.68,5304014.89,-0.35
4573963.91,5303979.14,-0.17
4573971.16,5303944.14,-0.25
4573979.48,5303909.92,-0.54
4574004.35,5303846.87,-0.61
4573988.78,5303876.43,-0.7
4573934.78,5304080.25,-0.17
4573939.51,5304043.4,-0.43
4573945.22,5304007.27,-0.11
4573951.97,5303971.89,-0.32
4573959.77,5303937.29,-0.53
4573968.56,5303903.43,-0.64
4573916.72,5304114.56,-0.12
4573921.34,5304071.9,-0.44
4573926.54,5304035.39,0
4573932.77,5303999.64,-0.41
4573940.05,5303964.66,-0.49
4573948.34,5303930.43,-0.57
4573898.65,5304148.87,0.04
4573880.59,5304183.17,-0.07
4573903.37,5304106.52,-0.4
4573907.85,5304063.52,0.02
4573913.57,5304027.39,-0.46
4573920.33,5303992.03,-0.76
4573928.13,5303957.42,-0.58
4573885.41,5304141.14,-0.4
4573862.52,5304217.48,-0.17
4573867.44,5304175.76,-0.11
4573889.95,5304098.44,-0.04
4573894.37,5304055.14,-0.6
4573900.62,5304019.4,-0.71
4573907.91,5303984.42,-0.62
4573872.05,5304133.35,-0.06
4573844.46,5304251.79,0.98
4573849.47,5304210.37,-0.04
4573854.15,5304168.27,-0.07
4573887.69,5304011.42,-0.2
4573876.49,5304090.33,-0.5
4573880.9,5304046.77,-0.82
4573858.6,5304125.51,-0.47
4573827.3,5304280.63,1.12
4573831.5,5304244.99,0.15
4573836.25,5304203.18,-0.1
4573840.71,5304160.7,-0.51
4573867.47,5304038.42,0.21
4573863.01,5304082.22,-0.74
4573845.13,5304117.66,-0.69
4573810.14,5304309.48,0.88
4573814.23,5304273.79,0.1
4573818.35,5304238.1,-0.19
4573822.82,5304195.88,-0.49
4573827.24,5304153.11,-0.72
4573849.56,5304074.12,-0.22
4573831.65,5304109.82,-0.39
4573792.97,5304338.33,0.31
4573796.96,5304302.6,0.06
4573801,5304266.88,-0.1
4573804.93,5304231.07,-0.48
4573809.35,5304188.56,-0.65
4573813.75,5304145.52,-0.77
4573775.81,5304367.17,0.07
4573779.69,5304331.4,-0.13
4573783.65,5304295.65,-0.13
4573787.56,5304259.85,-0.51
4573791.46,5304224.01,-0.66
4573795.84,5304181.22,-0.71
4573758.65,5304396.02,0.08
4573762.41,5304360.2,0.05
4573766.3,5304324.43,-0.1
4573770.18,5304288.62,-0.56
4573774.06,5304252.79,-0.69
4573777.93,5304216.92,-0.76
4573741.49,5304424.86,0.06
4573745.14,5304389.01,-0.05
4573748.95,5304353.2,-0.05
4573752.81,5304317.4,-0.54
4573756.66,5304281.56,-0.61
4573760.53,5304245.71,-0.62
4573726.21,5304454.89,0.13
4573727.87,5304417.81,-0.06
4573731.6,5304381.98,-0.12
4573735.43,5304346.18,-0.5
